%time,field.meter,field.adc_1,field.adc_2,field.adc_3,field.adc_4,field.adc_5,field.adc_6,field.adc_7,field.adc_8
1444808531012816395,0.0,90,108,161,137,144,152,0,0
1444808531112688317,0.0,104,114,161,139,145,153,0,0
1444808531212841574,0.0,99,114,162,138,146,154,0,0
1444808531312450191,0.0,95,114,162,140,147,154,0,0
1444808531412536227,0.0,90,111,220,149,180,317,0,0
1444808531512599793,0.0,107,118,212,136,141,191,0,0
1444808531612641062,0.0,103,116,183,138,140,156,0,0
1444808531712549215,0.0,94,112,167,138,143,151,0,0
1444808531812371434,0.0,98,112,162,138,144,151,0,0
1444808531912063571,0.0,87,106,161,135,143,151,0,0
1444808538012471595,0.0,94,110,161,137,144,152,0,0
1444808538012624569,0.05,355,347,308,335,329,322,0,0
1444808538113251931,0.05,363,348,307,333,326,320,0,0
1444808538213150403,0.05,363,352,306,335,327,320,0,0
1444808538313036047,0.05,367,356,307,338,330,322,0,0
1444808538412919520,0.05,360,354,353,346,357,446,0,0
1444808538512921774,0.05,366,357,353,336,327,356,0,0
1444808538612780607,0.05,365,357,331,338,326,326,0,0
1444808538712634082,0.05,363,355,316,339,329,322,0,0
1444808538813103588,0.05,364,355,312,339,330,322,0,0
1444808538913474688,0.05,366,352,310,338,331,323,0,0
1444808539013206295,0.05,365,355,309,338,331,324,0,0
1444808539113374271,0.05,367,354,309,338,331,324,0,0
1444808539212668754,0.05,363,354,310,338,331,324,0,0
1444808539312827000,0.05,363,355,310,338,331,324,0,0
1444808539413035426,0.05,360,356,355,347,357,447,0,0
1444808539512922390,0.05,364,353,353,335,326,355,0,0
1444808539612723783,0.05,361,353,330,336,324,325,0,0
1444808539712517754,0.05,364,354,315,337,327,320,0,0
1444808539813042049,0.05,360,353,309,338,329,321,0,0
1444808539913353231,0.05,363,354,308,338,331,323,0,0
1444808546012939985,0.05,363,354,309,338,331,323,0,0
1444808546013018692,0.1,462,446,384,425,415,405,0,0
1444808546113676735,0.1,459,447,385,425,415,404,0,0
1444808546213415029,0.1,463,448,385,425,415,404,0,0
1444808546313768948,0.1,459,447,385,425,415,404,0,0
1444808546413680818,0.1,456,446,384,425,414,404,0,0
1444808546513313140,0.1,459,448,427,426,420,461,0,0
1444808546613741670,0.1,461,446,413,423,409,415,0,0
1444808546713641548,0.1,460,447,395,424,410,402,0,0
1444808546813411149,0.1,465,445,386,424,412,401,0,0
1444808546913474446,0.1,461,448,384,425,414,403,0,0
1444808547013703652,0.1,459,449,384,425,415,404,0,0
1444808547113511371,0.1,459,448,384,425,415,404,0,0
1444808547213742939,0.1,459,449,384,425,415,404,0,0
1444808547313701343,0.1,458,448,385,425,415,404,0,0
1444808547413718193,0.1,461,448,421,432,437,507,0,0
1444808547514099307,0.1,457,446,423,422,411,432,0,0
1444808547613057547,0.1,460,447,403,423,408,405,0,0
1444808547713662641,0.1,458,447,395,423,410,402,0,0
1444808547813717273,0.1,461,448,386,425,413,401,0,0
