%time,field.meter,field.adc_1,field.adc_2,field.adc_3,field.adc_4,field.adc_5,field.adc_6,field.adc_7,field.adc_8
1444809574780245377,0.0,268,264,242,257,254,251,0,0
1444809574880040251,0.0,266,263,242,256,253,250,0,0
1444809574979898245,0.0,263,260,241,255,252,249,0,0
1444809575080181927,0.0,267,264,293,266,283,390,0,0
1444809575179922604,0.0,269,263,289,253,247,284,0,0
1444809575280026104,0.0,268,263,262,254,246,251,0,0
1444809575379833545,0.0,267,266,247,257,250,247,0,0
1444809575479978063,0.0,271,266,243,258,253,249,0,0
1444809575579890870,0.0,271,265,242,259,255,251,0,0
1444809575679892557,0.0,267,264,243,259,255,251,0,0
1444809575779967728,0.0,272,264,242,257,254,250,0,0
1444809581879960253,0.0,276,266,242,258,254,251,0,0
1444809581880238780,0.05,436,425,358,401,390,379,0,0
1444809581980447068,0.05,436,424,359,401,390,379,0,0
1444809582080479802,0.05,437,425,399,409,414,489,0,0
1444809582180515954,0.05,436,423,398,398,386,407,0,0
1444809582280451793,0.05,438,423,377,398,384,381,0,0
1444809582380461388,0.05,436,423,363,400,386,376,0,0
1444809582480420597,0.05,436,424,359,400,389,377,0,0
1444809582580506933,0.05,435,423,357,400,389,377,0,0
1444809582680553301,0.05,437,426,357,401,390,378,0,0
1444809582780384742,0.05,438,425,358,401,390,379,0,0
1444809582880404748,0.05,436,424,359,401,390,379,0,0
1444809582980475240,0.05,441,425,359,401,390,379,0,0
1444809583080465686,0.05,437,424,404,401,395,439,0,0
1444809583180391572,0.05,436,423,388,397,383,389,0,0
1444809583280553121,0.05,434,422,369,398,384,376,0,0
1444809583380521959,0.05,436,423,363,399,386,375,0,0
1444809583480567962,0.05,438,424,358,400,388,376,0,0
1444809583580538155,0.05,437,424,357,400,389,378,0,0
1444809583680547228,0.05,437,424,358,400,390,378,0,0
1444809583780156930,0.05,435,423,358,399,389,378,0,0
1444809589880726305,0.05,436,426,358,400,389,378,0,0
1444809589881427414,0.1,245,243,230,240,238,236,0,0
1444809589981270736,0.1,246,244,231,240,238,236,0,0
1444809590081057330,0.1,245,244,279,249,266,378,0,0
1444809590180692322,0.1,249,245,275,237,231,270,0,0
1444809590281135916,0.1,250,245,249,239,231,237,0,0
1444809590380920759,0.1,247,248,235,242,236,234,0,0
1444809590481119112,0.1,248,246,232,242,239,236,0,0
1444809590581073671,0.1,248,246,232,242,240,237,0,0
1444809590681003945,0.1,253,245,233,242,240,238,0,0
1444809590781099624,0.1,249,247,234,243,240,239,0,0
1444809590880780830,0.1,250,245,230,241,238,236,0,0
1444809590981127707,0.1,249,245,228,240,237,235,0,0
1444809591081065623,0.1,247,247,281,251,269,380,0,0
1444809591181063551,0.1,249,246,280,240,235,273,0,0
1444809591281240744,0.1,253,247,255,241,234,241,0,0
1444809591381249657,0.1,249,246,239,243,238,236,0,0
1444809591481192971,0.1,251,246,233,242,239,236,0,0
1444809591581114204,0.1,249,243,231,241,239,237,0,0
1444809591681059717,0.1,250,245,230,241,238,236,0,0
1444809591781031342,0.1,248,244,230,241,238,236,0,0
1444809597880940264,0.1,244,244,231,241,239,237,0,0
1444809597881133530,0.15,174,178,192,187,189,192,0,0
1444809597981744719,0.15,176,181,193,188,190,192,0,0
1444809598081260024,0.15,175,180,250,198,223,346,0,0
1444809598181831468,0.15,174,177,243,184,184,228,0,0
1444809598281638812,0.15,175,178,213,186,183,194,0,0
1444809598381320753,0.15,174,178,198,188,187,190,0,0
1444809598481354240,0.15,174,178,193,187,188,191,0,0
1444809598581643953,0.15,173,177,192,187,189,191,0,0
1444809598681695524,0.15,175,178,192,187,189,191,0,0
1444809598781683740,0.15,173,179,193,188,190,192,0,0
1444809598881735103,0.15,174,180,193,188,190,192,0,0
1444809598981671615,0.15,175,179,194,188,190,192,0,0
1444809599081878159,0.15,174,179,249,198,222,346,0,0
1444809599181553724,0.15,175,178,242,184,184,228,0,0
1444809599281246340,0.15,175,178,213,186,182,194,0,0
1444809599381600708,0.15,175,179,198,187,186,190,0,0
1444809599481785926,0.15,175,179,194,188,189,191,0,0
1444809599581787784,0.15,174,180,193,188,190,192,0,0
1444809599681508969,0.15,175,179,193,189,190,192,0,0
1444809599781990841,0.15,174,178,193,187,189,191,0,0
1444809605881793188,0.15,175,178,193,187,189,192,0,0
1444809605882722615,0.2,133,143,176,161,166,171,0,0
1444809605982305015,0.2,135,144,175,161,166,171,0,0
1444809606081963489,0.2,135,145,234,172,200,330,0,0
1444809606182359811,0.2,135,143,225,158,160,207,0,0
1444809606282286539,0.2,136,143,209,158,158,184,0,0
1444809606382250719,0.2,135,143,186,160,161,169,0,0
1444809606482297630,0.2,133,143,177,161,164,169,0,0
1444809606582211802,0.2,134,146,176,162,166,171,0,0
1444809606682165543,0.2,136,144,175,162,166,171,0,0
1444809606782204519,0.2,135,144,176,162,166,171,0,0
1444809606881918570,0.2,139,143,176,161,166,171,0,0
